,imdb_id,release_date,genres,title,budget,revenue,runtime_mins,vote_average,vote_count
167,tt1568911,2011-12-25,"['Drama', 'War', 'Action']",War Horse,66000000,177584879,146,7.3,2297
168,tt0448694,2011-10-28,"['Action', 'Adventure', 'Animation', 'Family', 'Fantasy', 'Comedy']",Puss in Boots,130000000,554987477,90,6.4,1943
169,tt1502404,2011-02-24,"['Fantasy', 'Thriller', 'Action', 'Crime']",Drive Angry,50000000,28931401,105,5.4,1164
170,tt1650062,2011-06-08,"['Thriller', 'Science Fiction', 'Mystery']",Super 8,50000000,260095986,112,6.7,4691
171,tt0770703,2011-09-30,"['Comedy', 'Romance']",What's Your Number?,20000000,30426096,106,6.5,1547
172,tt1723811,2011-10-02,['Drama'],Shame,6500000,19123767,102,7.0,2012
173,tt1396218,2011-06-17,"['Comedy', 'Family']",Mr. Popper's Penguins,55000000,187361754,94,5.9,1951
174,tt1509767,2011-08-31,"['Adventure', 'Action', 'Thriller']",The Three Musketeers,75000000,132274484,110,5.8,1881
175,tt1152398,2011-01-21,"['Drama', 'Fantasy', 'Romance']",Beastly,17000000,43165571,86,6.3,2137
176,tt1411697,2011-05-25,['Comedy'],The Hangover Part II,80000000,254455986,102,6.4,7416
177,tt0479997,2011-01-07,"['Adventure', 'Fantasy', 'Action']",Season of the Witch,40000000,91627228,95,5.3,1636
178,tt1616195,2011-11-09,"['Drama', 'Crime', 'History']",J. Edgar,35000000,84606030,137,6.2,1629
179,tt1598822,2011-12-08,"['Comedy', 'Romance']",New Year's Eve,56000000,142044638,118,5.9,1566
180,tt1655442,2011-10-08,"['Drama', 'Comedy', 'Romance']",The Artist,15000000,133432856,100,7.4,2174
181,tt1401152,2011-02-16,"['Action', 'Mystery', 'Thriller']",Unknown,30000000,130786397,113,6.6,2507
182,tt0993842,2011-04-07,"['Action', 'Thriller', 'Adventure']",Hanna,30000000,63782078,111,6.6,2280
183,tt1161864,2011-01-28,"['Drama', 'Thriller', 'Horror']",The Rite,37000000,96047633,114,6.0,1292
184,tt1210166,2011-09-22,['Drama'],Moneyball,50000000,110206216,134,7.2,2926
185,tt0983193,2011-10-25,"['Adventure', 'Animation', 'Mystery']",The Adventures of Tintin,130000000,371940071,107,6.8,3808
186,tt1067583,2011-03-15,"['Drama', 'Romance']",Water for Elephants,38000000,117094902,120,6.9,1893
187,tt1389137,2011-12-08,"['Drama', 'Comedy', 'Family']",We Bought a Zoo,50000000,120081841,124,6.7,1824
188,tt1568346,2011-12-14,"['Thriller', 'Crime', 'Mystery', 'Drama']",The Girl with the Dragon Tattoo,90000000,232617430,158,7.3,4704
189,tt1615147,2011-09-28,"['Thriller', 'Drama']",Margin Call,3500000,19504039,107,6.8,1018
190,tt0810913,2011-11-11,['Comedy'],Jack and Jill,79000000,149673788,91,4.2,1378
191,tt1448755,2011-09-23,"['Action', 'Adventure', 'Thriller']",Killer Elite,66000000,57777106,116,6.2,1328
192,tt1291584,2011-09-09,"['Drama', 'Action']",Warrior,25000000,23057115,140,7.8,2655
193,tt1622979,2011-08-12,"['Horror', 'Mystery']",Final Destination 5,47000000,157887643,92,6.0,2097
194,tt1605783,2011-05-11,"['Fantasy', 'Comedy', 'Romance']",Midnight in Paris,30000000,151119219,94,7.5,5011
195,tt1778304,2011-10-19,['Horror'],Paranormal Activity 3,5000000,205703818,83,5.9,1445
196,tt1478964,2011-05-12,"['Action', 'Comedy', 'Science Fiction']",Attack the Block,14350531,3964682,88,6.4,1357
197,tt0478304,2011-05-18,"['Drama', 'Fantasy']",The Tree of Life,32000000,54674226,139,6.7,2094
198,tt1454029,2011-08-09,['Drama'],The Help,25000000,216639112,146,8.2,4892
199,tt1033575,2011-09-09,"['Comedy', 'Drama']",The Descendants,20000000,177243185,115,6.8,1824
200,tt1385826,2011-03-03,"['Science Fiction', 'Thriller', 'Romance']",The Adjustment Bureau,50200000,127869379,106,6.7,3124
201,tt1242460,2011-09-28,"['Drama', 'Thriller']",We Need to Talk About Kevin,7000000,10765283,113,7.6,1658
202,tt1571222,2011-09-30,"['Drama', 'Thriller']",A Dangerous Method,15000000,27462041,99,6.3,1339
203,tt1692486,2011-09-16,"['Comedy', 'Drama']",Carnage,25000000,30722632,80,7.2,1877
204,tt1601913,2011-12-11,"['Drama', 'Thriller', 'Action', 'Adventure']",The Grey,25000000,77278331,117,6.5,2651
205,tt1478338,2011-05-13,"['Comedy', 'Romance']",Bridesmaids,32500000,288383523,125,6.5,3226
206,tt1549572,2011-07-22,"['Drama', 'Science Fiction']",Another Earth,100000,1776935,92,6.7,1023
207,tt0480687,2011-02-25,"['Comedy', 'Romance']",Hall Pass,36000000,86157237,105,5.6,1292
208,tt1600195,2011-09-22,"['Thriller', 'Action', 'Mystery']",Abduction,35000000,82087155,106,5.8,2163
209,tt1007029,2011-12-30,"['History', 'Drama']",The Iron Lady,13000000,115890699,105,6.4,1115
210,tt1068242,2011-10-06,"['Drama', 'Music', 'Romance']",Footloose,24000000,63543328,113,6.6,1124
211,tt1189340,2011-03-17,"['Crime', 'Drama', 'Thriller']",The Lincoln Lawyer,40000000,85412898,119,7.1,1867
212,tt1222817,2011-07-06,"['Comedy', 'Romance', 'Family']",Zookeeper,80000000,169852759,102,5.4,1078
213,tt1124035,2011-09-24,['Drama'],The Ides of March,12500000,76338111,101,6.7,1646
214,tt1622547,2011-08-11,"['Action', 'Adventure', 'Comedy']",30 Minutes or Less,28000000,40547440,83,5.7,1089
215,tt1853739,2011-09-10,"['Horror', 'Thriller', 'Mystery']",You're Next,0,14347000,95,6.6,1527
216,tt1306980,2011-09-30,"['Comedy', 'Drama']",50/50,8000000,39187783,100,7.1,2599
217,tt1438176,2011-08-18,"['Horror', 'Comedy']",Fright Night,30000000,41002607,106,6.1,1204
218,tt1808015,2011-01-05,['Comedy'],What a Beautiful Day,6000000,0,97,6.5,1167
219,tt1399103,2011-06-28,"['Action', 'Science Fiction', 'Adventure']",Transformers: Dark of the Moon,195000000,1123794079,154,6.1,5794
220,tt1596343,2011-04-20,"['Action', 'Thriller', 'Crime']",Fast Five,125000000,626137675,130,7.2,5314
221,tt1270798,2011-06-01,"['Action', 'Science Fiction', 'Adventure']",X-Men: First Class,160000000,353624124,132,7.3,9454
222,tt1217209,2012-06-21,"['Animation', 'Adventure', 'Comedy', 'Family', 'Action', 'Fantasy']",Brave,185000000,538983207,93,7.0,9721
223,tt0848228,2012-04-25,"['Science Fiction', 'Action', 'Adventure']",The Avengers,220000000,1519557910,143,7.7,22751
224,tt0903624,2012-11-26,"['Adventure', 'Fantasy', 'Action']",The Hobbit: An Unexpected Journey,250000000,1021103568,169,7.3,13741
225,tt1345836,2012-07-16,"['Action', 'Crime', 'Drama', 'Thriller']",The Dark Knight Rises,250000000,1081041287,165,7.7,16290
226,tt1482459,2012-03-01,"['Animation', 'Family']",The Lorax,70000000,348840316,86,6.4,2242
227,tt1446714,2012-05-30,"['Science Fiction', 'Adventure', 'Mystery']",Prometheus,130000000,403170142,124,6.4,8549
228,tt1790885,2012-12-19,"['Thriller', 'Drama', 'History']",Zero Dark Thirty,40000000,132820716,157,6.9,3025
229,tt0948470,2012-06-23,"['Action', 'Adventure', 'Fantasy']",The Amazing Spider-Man,215000000,757930663,136,6.5,11957
230,tt1673434,2012-11-13,"['Adventure', 'Fantasy', 'Drama', 'Romance']",The Twilight Saga: Breaking Dawn - Part 2,120000000,829000000,115,6.4,6289
231,tt1853728,2012-12-25,"['Drama', 'Western']",Django Unchained,100000000,425368238,165,8.1,18692
232,tt1667353,2012-03-15,"['Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']",Mirror Mirror,85000000,183018522,106,5.9,2494
