release_date,title,genres,production_budget,domestic_gross,foreign_gross,worldwide_gross
2015-05-08,1001 Grams,Drama,,10983,,
2015-04-24,Just Before I Go,Comedy,,10970,,
2015-11-13,Sembene!,Documentary,,10945,,
2014-10-15,Diplomacy,Drama,,10880,,
2013-09-06,Walking the Camino: Six Way…,Documentary,,10783,,
2015-07-01,Mala Mala,Documentary,,10761,,
2014-10-10,The Overnighters,Documentary,,10741,,
2014-09-11,Stray Dogs,Drama,,10433,,
2015-03-17,The Forecaster,Documentary,,10172,,
2015-03-06,The Life and Mind of Mark D…,Documentary,,10021,,
2014-09-10,My Old Lady,Comedy,5000000,9922,11208778,15220308
2015-02-25,Wild Canaries,Comedy,,9795,,
2015-12-16,The Winding Steam,Documentary,,9566,,
2015-08-21,Station to Station,Documentary,,9494,,
2015-01-16,Still Life,Comedy,,9481,,
2015-05-13,"One Cut, One Life",Documentary,,9406,,
2015-03-13,Medeas,Drama,,9313,,
2015-03-27,Cupcakes,Drama,,9129,,
2015-12-04,"Arabian Nights: Vol. 1, The…",Drama,,9057,,
2015-02-27,The Lesson,Drama,,9045,,
2015-11-13,The Hallow,Horror,,8967,,
2015-02-27,Butterfly Girl,Documentary,180000,8956,0,17503
2014-11-07,Why Don't You Play in Hell?,Action,,8913,,
2015-10-02,Northern Soul,Drama,,8886,,
2015-07-10,B-Side,Romantic Comedy,,8870,,
2015-07-31,Paulo Coelhoâs Best Story,Drama,,8808,,
2015-07-17,Dawn of the Crescent Moon,Thriller/Suspense,75000,8799,0,8799
2015-01-16,Little Accidents,Drama,,8649,,
2015-07-10,Meet Me in Montenegro,Romantic Comedy,,8612,,
2015-02-25,Farewell to Hollywood,Documentary,,8601,,
2015-04-10,Wa-shoku: Beyond Sushi,,,8570,,
2014-12-19,Conte d'hiver,Drama,,8406,,
2015-07-31,Counting,Documentary,50000,8374,0,8374
2015-12-11,The Girl in the Book,Drama,,8245,,
2015-12-01,A Fool,Comedy,,8212,,
2014-05-01,Jellyfish Eyes,,,8176,,
2014-10-17,Hiroshima Mon Amour,Drama,,8139,,
2006-04-28,Army of Shadows,Drama,,8100,,
2015-08-07,The Dinner,Drama,,8054,,
2015-07-17,Steak (R)evolution,Documentary,,8025,,
2015-03-06,Straight Outta Tompkins,Drama,,8022,,
2014-12-17,"If You Don't, I Will",Comedy,,8012,,
2015-06-26,Gone Doggy Gone,Comedy,,8001,,
2015-02-06,One Small Hitch,Romantic Comedy,,7965,,
2015-11-13,Kilo Two Bravo,Drama,,7891,,
2015-08-14,The Great Man,Drama,,7814,,
2015-05-15,Area 51,Thriller/Suspense,5000000,7556,0,7556
2015-02-06,On the Way to School,Documentary,,7424,,
2015-06-19,Rubble Kings,Documentary,,7416,,
2015-05-15,The Film Critic,Comedy,,7358,,
2015-06-12,Set Fire to the Stars,Drama,,7280,,
2014-10-24,Life of Riley,Drama,,7210,,
2015-04-17,Antarctic Edge: 70Âº South,Documentary,150000,7193,0,7193
2015-01-02,Li'l Quinquin,Comedy,,7192,,
2015-06-26,A Murder in the Park,Documentary,,7125,,
2015-10-09,Victoria,Thriller/Suspense,,6971,,
2015-06-19,Gabriel,Thriller/Suspense,,6959,,
2015-06-05,Hungry Hearts,Drama,,6921,,
2014-09-26,Advanced Style,Documentary,,6905,,
2015-04-10,The Sisterhood of Night,Drama,1000000,6870,0,6870
2015-11-13,Steve McQueen: The Man & Le…,Documentary,,6843,,
2015-07-24,Horse Money,Documentary,,6508,,
2015-07-10,The Suicide Theory,Thriller/Suspense,,6434,,
2015-07-17,AllÃ©luia,Thriller/Suspense,,6334,,
2015-08-21,Guidance,Comedy,,6194,,
